 DATE,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,OPENPRC,NUMTRD,RETX
12/31/14,JPM,JPMORGAN CHASE & CO,62.58,63.49,62.58,18529419,-0.009026,62.59,62.6,3738189,63.3,,-0.009026
1/2/15,JPM,JPMORGAN CHASE & CO,62.07,62.96,62.49,12599991,0.004954,62.5,62.51,3738189,62.62,,-0.001438
1/5/15,JPM,JPMORGAN CHASE & CO,60.23,62.28,60.55,20100577,-0.031045,60.54,60.55,3738189,62.06,,-0.031045
1/6/15,JPM,JPMORGAN CHASE & CO,58.35,60.75,58.98,29074111,-0.025929,58.98,58.99,3738189,60.64,,-0.025929
1/7/15,JPM,JPMORGAN CHASE & CO,58.665,59.89,59.07,23843244,0.001526,59.05,59.06,3738189,59.89,,0.001526
1/8/15,JPM,JPMORGAN CHASE & CO,59.97,60.9,60.39,16971056,0.022346,60.39,60.4,3738189,59.97,,0.022346
1/9/15,JPM,JPMORGAN CHASE & CO,59.29,60.79,59.34,15396195,-0.017387,59.35,59.36,3738189,60.72,,-0.017387
1/12/15,JPM,JPMORGAN CHASE & CO,58.27,59.4,58.83,15455234,-0.008595,58.81,58.82,3738189,59.28,,-0.008595
1/13/15,JPM,JPMORGAN CHASE & CO,58.37,59.7,58.84,21644739,0.00017,58.88,58.89,3738189,59.26,,0.00017
1/14/15,JPM,JPMORGAN CHASE & CO,55.27,57,56.81,49602310,-0.0345,56.79,56.8,3738189,56.91,,-0.0345
1/15/15,JPM,JPMORGAN CHASE & CO,54.5,56.61,54.99,42458146,-0.032037,55,55.01,3738189,55.73,,-0.032037
1/16/15,JPM,JPMORGAN CHASE & CO,54.64,56,55.93,29368910,0.017094,55.97,55.98,3738189,54.66,,0.017094
1/20/15,JPM,JPMORGAN CHASE & CO,55.4232,56.39,55.71,23477689,-0.003934,55.72,55.73,3738189,56.04,,-0.003934
1/21/15,JPM,JPMORGAN CHASE & CO,55.19,56.42,55.89,21842362,0.003231,55.89,55.9,3738189,55.45,,0.003231
1/22/15,JPM,JPMORGAN CHASE & CO,55.955,57.73,57.59,31423538,0.030417,57.61,57.62,3738189,56.38,,0.030417
1/23/15,JPM,JPMORGAN CHASE & CO,56.66,57.87,56.68,15458254,-0.015801,56.68,56.69,3738189,57.72,,-0.015801
1/26/15,JPM,JPMORGAN CHASE & CO,56.2,56.99,56.77,12577658,0.001588,56.77,56.78,3738189,56.41,,0.001588
1/27/15,JPM,JPMORGAN CHASE & CO,55.755,56.61,56.2,15220526,-0.010041,56.21,56.22,3738189,56.05,,-0.010041
1/28/15,JPM,JPMORGAN CHASE & CO,54.75,56.68,54.75,24354354,-0.025801,54.76,54.77,3738189,56.62,,-0.025801
1/29/15,JPM,JPMORGAN CHASE & CO,54.68,55.89,55.67,20393264,0.016804,55.67,55.68,3738189,55.27,,0.016804
1/30/15,JPM,JPMORGAN CHASE & CO,54.37,55.495,54.38,26943713,-0.023172,54.41,54.42,3738189,54.99,,-0.023172
2/2/15,JPM,JPMORGAN CHASE & CO,54.27,55.65,55.47,20308885,0.020044,55.48,55.49,3738189,54.53,,0.020044
2/3/15,JPM,JPMORGAN CHASE & CO,55.87,56.78,56.72,18812501,0.022535,56.72,56.73,3738189,55.91,,0.022535
2/4/15,JPM,JPMORGAN CHASE & CO,56.28,57.07,56.38,14934076,-0.005994,56.38,56.39,3738189,56.32,,-0.005994
2/5/15,JPM,JPMORGAN CHASE & CO,56.46,57.04,56.77,11293901,0.006917,56.76,56.77,3738189,56.86,,0.006917
2/6/15,JPM,JPMORGAN CHASE & CO,57.54,58.73,57.89,25214001,0.019729,57.89,57.9,3738189,57.75,,0.019729
2/9/15,JPM,JPMORGAN CHASE & CO,57.23,58.095,57.82,14372365,-0.001209,57.8,57.81,3738189,57.42,,-0.001209
2/10/15,JPM,JPMORGAN CHASE & CO,58.05,58.7082,58.46,16367266,0.011069,58.44,58.45,3738189,58.42,,0.011069
2/11/15,JPM,JPMORGAN CHASE & CO,57.84,58.655,58.37,13061925,-0.00154,58.36,58.37,3738189,58.06,,-0.00154
2/12/15,JPM,JPMORGAN CHASE & CO,58.55,59.71,59.57,23211327,0.020559,59.54,59.55,3738189,58.93,,0.020559
2/13/15,JPM,JPMORGAN CHASE & CO,59.34,60.22,59.67,16479114,0.001679,59.65,59.66,3738189,59.46,,0.001679
2/17/15,JPM,JPMORGAN CHASE & CO,59.315,60.14,60.1,15308763,0.007206,60.07,60.08,3738189,59.36,,0.007206
2/18/15,JPM,JPMORGAN CHASE & CO,59.12,59.8324,59.37,14278117,-0.012146,59.35,59.36,3738189,59.79,,-0.012146
2/19/15,JPM,JPMORGAN CHASE & CO,58.8,59.48,59.23,11256543,-0.002358,59.22,59.23,3738189,59.15,,-0.002358
2/20/15,JPM,JPMORGAN CHASE & CO,58.35,59.89,59.8,15379042,0.009623,59.79,59.8,3738189,58.96,,0.009623
2/23/15,JPM,JPMORGAN CHASE & CO,58.8,59.53,59.35,16813999,-0.007525,59.34,59.35,3738189,59.5,,-0.007525
2/24/15,JPM,JPMORGAN CHASE & CO,60.08,61.25,60.82,22937701,0.024768,60.82,60.83,3738189,60.25,,0.024768
2/25/15,JPM,JPMORGAN CHASE & CO,60.75,61.27,61.14,18307912,0.005261,61.14,61.15,3738189,60.76,,0.005261
2/26/15,JPM,JPMORGAN CHASE & CO,60.91,61.7,61.58,15444802,0.007197,61.59,61.6,3738189,61.03,,0.007197
2/27/15,JPM,JPMORGAN CHASE & CO,61.13,61.92,61.28,15225935,-0.004872,61.29,61.3,3728313,61.13,,-0.004872
3/2/15,JPM,JPMORGAN CHASE & CO,61.03,61.83,61.77,13047328,0.007996,61.76,61.77,3728313,61.24,,0.007996
3/3/15,JPM,JPMORGAN CHASE & CO,61.5,61.99,61.97,13707655,0.003238,61.97,61.98,3728313,61.65,,0.003238
3/4/15,JPM,JPMORGAN CHASE & CO,61.3525,62.17,62.13,16626413,0.002582,62.13,62.14,3728313,61.64,,0.002582
3/5/15,JPM,JPMORGAN CHASE & CO,61.6,62.23,62,10931262,-0.002092,62,62.01,3728313,62.2,,-0.002092
3/6/15,JPM,JPMORGAN CHASE & CO,60.8,62.87,60.89,22719177,-0.017903,60.89,60.9,3728313,62.16,,-0.017903
3/9/15,JPM,JPMORGAN CHASE & CO,60.8,61.63,61.5,13001473,0.010018,61.51,61.52,3728313,60.84,,0.010018
3/10/15,JPM,JPMORGAN CHASE & CO,59.96,61.01,59.96,16357724,-0.025041,60,60.01,3728313,60.76,,-0.025041
3/11/15,JPM,JPMORGAN CHASE & CO,59.955,60.65,60.24,13015567,0.00467,60.24,60.25,3728313,60.13,,0.00467
3/12/15,JPM,JPMORGAN CHASE & CO,60.65,61.45,61.37,18159558,0.018758,61.34,61.35,3728313,60.65,,0.018758
3/13/15,JPM,JPMORGAN CHASE & CO,60.4301,61.86,61,16506155,-0.006029,60.99,61,3728313,61.4,,-0.006029
