"news_day","headline"
"2014-04-23","SEC SAYS CHRIS CHOI TIPPED FRIEND ABOUT NVIDIA'S FINANCIAL  PERFORMANCE IN ADVANCE OF EARNINGS"
"2014-04-23","US SEC CHARGES EX-NVIDIA CORP MANAGER WITH TIPPING CONFIDENTIAL  INFORMATION EXPLOITED BY HEDGE FUNDS"
"2014-04-29","EARNINGS RELEASES AND SCHEDULES, AND STOCK PRICE UPDATES - ANALYST NOTES ON AMERISOURCEBERGEN, STARWOOD HOTELS & RESORTS, TRACTOR SUPPLY, TJX COMPANIES AND NVIDIA"
"2014-05-05","NVIDIA CORP <NVDA.O>: SUSQUEHANNA RAISES TARGET PRICE TO $16 FROM $15; RATING NEUTRAL"
"2014-05-06","NVIDIA CORP <NVDA.O> Q1 REVENUE $1.1 BLN VS I/B/E/S VIEW $1.06 BLN"
"2014-05-06","NVIDIA CORP <NVDA.O> Q1 GAAP SHR $0.24"
"2014-05-06","NVIDIA CORP <NVDA.O> Q1 NON-GAAP SHR $0.29"
"2014-05-06","NVIDIA ANNOUNCES FINANCIAL RESULTS FOR FIRST QUARTER FISCAL 2015"
"2014-05-06","NVIDIA CORP <NVDA.O> Q1 SHR VIEW $0.17 -- THOMSON REUTERS I/B/E/S"
"2014-05-06","NVIDIA -RELEASE IS BEING ISSUED BECAUSE PRELIMINARY DRAFT OF FINANCIAL RESULTS FOR Q1 WAS INADVERTENTLY EMAILED TO INTERNAL DISTRIBUTION LIST"
"2014-05-06","NVIDIA ANNOUNCES FINANCIAL RESULTS FOR FIRST QUARTER FISCAL 2015"
"2014-05-07","NVIDIA CORP <NVDA.O>: FBR RAISES PRICE TARGET TO $20 FROM $19; RATING MARKET PERFORM"
"2014-05-08","NVIDIA CORP <NVDA.O> SEES Q2 GAAP AND NON-GAAP MARGINS ARE EXPECTED TO BE APPROXIMATELY 53.7 PERCENT AND 54.0 PERCENT, RESPECTIVELY"
"2014-05-08","NVIDIA CORP <NVDA.O> - SEES FY 2015 REVENUE IS EXPECTED TO BE $1.1 BILLION, PLUS OR MINUS TWO PERCENT"
"2014-05-08","NVIDIA CORP <NVDA.O> SAYS Q1 GROSS MARGIN 54.8 PCT VS 54.3 PCT"
"2014-05-08","NVIDIA CORP <NVDA.O> Q1 SHR VIEW $0.17, REV VIEW $1.06 BLN -- THOMSON REUTERS I/B/E/S"
"2014-05-08","NVIDIA CORP <NVDA.O> Q1 GAAP SHR $0.24"
"2014-05-08","NVIDIA CORP <NVDA.O> Q1 REVENUE $1.1 BLN VS I/B/E/S VIEW $1.06 BLN"
"2014-05-08","NVIDIA FINANCIAL RESULTS FOR FIRST QUARTER FISCAL 2015"
"2014-05-08","NVIDIA CORP <NVDA.O> Q1 SHR VIEW $0.17 -- THOMSON REUTERS I/B/E/S"
"2014-05-08","NVIDIA FINANCIAL RESULTS FOR FIRST QUARTER FISCAL 2015"
"2014-05-08","NVIDIA CORP <NVDA.O> Q1 NON-GAAP SHR $0.29"
"2014-05-08","RPT-NVIDIA CORP <NVDA.O> SAYS Q1 GROSS MARGIN 54.8 PCT VS 54.3 PCT"
"2014-05-08","RPT-NVIDIA CORP <NVDA.O> Q2 GAAP AND NON-GAAP MARGINS ARE EXPECTED TO BE APPROXIMATELY 53.7 PERCENT AND 54.0 PERCENT, RESPECTIVELY"
"2014-05-08","RPT-NVIDIA CORP <NVDA.O> Q1 REVENUE $1.1 BLN ; Q1 NON-GAAP SHR $0.29 ; Q1 GAAP SHR $0.24"
"2014-05-08","CORRECTED-NVIDIA CORP <NVDA.O> - Q2 (NOT FY 2015) REVENUE IS EXPECTED TO BE $1.1 BILLION, PLUS OR MINUS TWO PERCENT"
"2014-05-08"," NVIDIA CORP <NVDA.O> SHARES DOWN 1.4 PCT AFTER THE BELL  FOLLOWING RESULTS"
"2014-05-08","NVIDIA CORP <NVDA.O> : JEFFERIES RAISES TARGET PRICE TO $19 FROM $18; RATING HOLD"
"2014-05-09","NVIDIA CORP <NVDA.O>: MORGAN STANLEY RAISES TARGET PRICE TO $14 FROM $13; RATING UNDERWEIGHT"
"2014-05-09","NVIDIA CORP <NVDA.O>: JEFFERIES RAISES TARGET PRICE TO $19 FROM $18; RATING HOLD"
"2014-05-09","NVIDIA CORP <NVDA.O>: JP MORGAN RAISES TARGET PRICE TO $19 FROM $18; RATING NEUTRAL"
"2014-05-09","NVIDIA CORP <NVDA.O>: RBC RAISES TARGET PRICE TO $21 FROM $18; RATING SECTOR PERFORM"
"2014-05-09","NVIDIA CORP <NVDA.O>: BARCLAYS RAISES TARGET PRICE TO $17 FROM $15; RATING EQUAL WEIGHT"
"2014-05-09","NVIDIA CORP <NVDA.O>: DEUTSCHE BANK RAISES TARGET PRICE TO $16 FROM $15; RATING HOLD"
"2014-05-09","NVIDIA CORP <NVDA.O>: TOPEKA RAISES TARGET PRICE TO $19 FROM $17; RATING HOLD"
"2014-05-09","NVIDIA CORP <NVDA.O>: WEDBUSH RAISES TARGET PRICE TO $22 FROM $21; RATING OUTPERFORM"
"2014-05-09","NVIDIA CORP <NVDA.O>:  STIFEL RAISES TARGET PRICE TO $22 FROM $21; RATING BUY"
"2014-05-09","NVIDIA CORP <NVDA.O>: ROTH CAPITAL RAISES TARGET PRICE TO $22 FROM $20; RATING BUY"
"2014-05-19","NVIDIA <NVDA.O>: RBC RAISES TO OUTPERFORM FROM SECTOR PERFORM"
"2014-05-19","NVIDIA <NVDA.O>: RBC RAISES TARGET PRICE TO $26 FROM $21"
"2014-06-09","NVIDIA CORP <NVDA.O>: CANACCORD GENUITY RESUMES COVERAGE WITH HOLD; PRICE TARGET $19"
"2014-06-10","DOCUSIGN, INTUIT, NVIDIA AND NOMAD CHOOSE EXTOLE TO BOOST CUSTOMER ACQUISITION"
"2014-06-19","NVIDIA CORP <NVDA.O>: BOFA MERRILL CUTS TO UNDERPERFORM FROM NEUTRAL - THEFLYONTHEWALL.COM"
"2014-06-19","NVIDIA DOWN 3 PERCENT TO $19 IN PREMARKET; BOFA MERRILL CUTS TO  UNDERPERFORM RATING"
"2014-06-23","NVIDIA <NVDA.O> : PACIFIC CREST CUTS TO UNDERPERFORM RATING"
"2014-08-07","NVIDIA CORP <NVDA.O> QTRLY NON-GAAP GROSS MARGIN OF 56.4"
"2014-08-07","NVIDIA CORP <NVDA.O> SEES Q3 REVENUE IS EXPECTED TO BE $1.20 BILLION, PLUS OR MINUS TWO PERCENT"
