DATE,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,OPENPRC,NUMTRD,RETX
12/31/14,NVDA,NVIDIA CORP,19.99,20.51,20.05,4157958,-0.015709,20.04,20.05,543537,20.4,22848,-0.015709
1/2/15,NVDA,NVIDIA CORP,19.811,20.28,20.13,2842012,0.00399,20.12,20.13,543537,20.13,16689,0.00399
1/5/15,NVDA,NVIDIA CORP,19.7,20.19,19.79,4948799,-0.01689,19.79,19.8,543537,20.13,23920,-0.01689
1/6/15,NVDA,NVIDIA CORP,19.17,19.84,19.19,4944121,-0.030318,19.18,19.19,543537,19.82,29299,-0.030318
1/7/15,NVDA,NVIDIA CORP,19.08,19.5,19.135,8045186,-0.002866,19.13,19.14,543537,19.33,30935,-0.002866
1/8/15,NVDA,NVIDIA CORP,19.35,19.98,19.86,7094534,0.037889,19.85,19.86,543537,19.36,34927,0.037889
1/9/15,NVDA,NVIDIA CORP,19.655,20.09,19.94,5238601,0.004028,19.93,19.94,543537,19.93,27940,0.004028
1/12/15,NVDA,NVIDIA CORP,19.51,19.995,19.69,4768307,-0.012538,19.69,19.7,543537,19.99,24830,-0.012538
1/13/15,NVDA,NVIDIA CORP,19.525,20.24,19.655,5917960,-0.001778,19.65,19.66,543537,19.84,33998,-0.001778
1/14/15,NVDA,NVIDIA CORP,19.4,19.8,19.74,3881531,0.004325,19.74,19.75,543537,19.45,24678,0.004325
1/15/15,NVDA,NVIDIA CORP,19.59,20,19.6,4723757,-0.007092,19.6,19.61,543537,19.88,30447,-0.007092
1/16/15,NVDA,NVIDIA CORP,19.51,19.98,19.96,4537800,0.018367,19.95,19.96,543537,19.57,25091,0.018367
1/20/15,NVDA,NVIDIA CORP,19.77,20.21,20.02,3511919,0.003006,20.01,20.02,543537,20.1,20826,0.003006
1/21/15,NVDA,NVIDIA CORP,19.77,20.35,20.3,3619494,0.013986,20.3,20.31,543537,19.91,23703,0.013986
1/22/15,NVDA,NVIDIA CORP,20.13,20.705,20.65,3992810,0.017241,20.64,20.65,543537,20.34,24124,0.017241
1/23/15,NVDA,NVIDIA CORP,20.5,20.745,20.71,3010389,0.002906,20.71,20.72,544913,20.67,21107,0.002906
1/26/15,NVDA,NVIDIA CORP,20.49,20.72,20.615,3331540,-0.004587,20.61,20.62,544913,20.62,19602,-0.004587
1/27/15,NVDA,NVIDIA CORP,19.59,20.32,19.63,8948721,-0.047781,19.59,19.6,544913,20.3,45918,-0.047781
1/28/15,NVDA,NVIDIA CORP,19.3,19.95,19.31,6818214,-0.016302,19.31,19.32,544913,19.87,33823,-0.016302
1/29/15,NVDA,NVIDIA CORP,19.23,19.89,19.78,5883531,0.02434,19.77,19.78,544913,19.32,33609,0.02434
1/30/15,NVDA,NVIDIA CORP,19.17,19.869,19.205,7454968,-0.02907,19.2,19.21,544913,19.64,33518,-0.02907
2/2/15,NVDA,NVIDIA CORP,18.94,19.7,19.62,6490149,0.021609,19.61,19.62,544913,19.32,40479,0.021609
2/3/15,NVDA,NVIDIA CORP,19.66,20.13,20.11,4586670,0.024975,20.1,20.11,544913,19.76,27911,0.024975
2/4/15,NVDA,NVIDIA CORP,19.985,20.385,20.16,4537872,0.002486,20.16,20.17,544913,20.05,25797,0.002486
2/5/15,NVDA,NVIDIA CORP,20.16,20.5,20.485,3511195,0.016121,20.48,20.49,544913,20.18,22244,0.016121
2/6/15,NVDA,NVIDIA CORP,20.31,20.71,20.4,5263073,-0.004149,20.4,20.41,544913,20.47,24573,-0.004149
2/9/15,NVDA,NVIDIA CORP,20.15,20.44,20.38,6849193,-0.00098,20.38,20.39,544913,20.28,37041,-0.00098
2/10/15,NVDA,NVIDIA CORP,20.31,20.96,20.95,5655113,0.027969,20.94,20.95,544913,20.4,29982,0.027969
2/11/15,NVDA,NVIDIA CORP,20.67,21,20.81,8020778,-0.006683,20.8,20.81,544913,21,44194,-0.006683
