DATE,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,OPENPRC,NUMTRD,RETX
12/31/14,TSLA,TESLA MOTORS INC,222.25,225.67999,222.41,2402097,0.00081,222.33,222.38,125688,223.09,18268,0.00081
1/2/15,TSLA,TESLA MOTORS INC,213.25999,223.25,219.31,4764443,-0.013938,219.19,219.31,125688,222.87,39850,-0.013938
1/5/15,TSLA,TESLA MOTORS INC,207.1626,216.5,210.09,5368477,-0.042041,210.00999,210.10001,125688,214.55,45880,-0.042041
1/6/15,TSLA,TESLA MOTORS INC,204.21001,214.2,211.28,6261936,0.005664,211.17999,211.28,125688,210.06,49937,0.005664
1/7/15,TSLA,TESLA MOTORS INC,209.78,214.78,210.95,2968390,-0.001562,210.81,210.94,125688,213.35001,25204,-0.001562
1/8/15,TSLA,TESLA MOTORS INC,210.00999,213.7999,210.61501,3442509,-0.001588,210.55,210.67999,125688,212.81,27404,-0.001588
1/9/15,TSLA,TESLA MOTORS INC,204.96001,209.98,206.66,4668295,-0.018778,206.55,206.64999,125688,208.92,38009,-0.018778
1/12/15,TSLA,TESLA MOTORS INC,199.25,204.47,202.21001,5950280,-0.021533,202.19,202.21001,125688,203.05,46195,-0.021533
1/13/15,TSLA,TESLA MOTORS INC,200.911,207.61,204.25,4477320,0.010088,204.24001,204.3,125688,203.32001,36959,0.010088
1/14/15,TSLA,TESLA MOTORS INC,185,195.2,192.69,11551855,-0.056597,192.59,192.69,125688,185.83,91139,-0.056597
1/15/15,TSLA,TESLA MOTORS INC,190,195.74989,191.87,5213638,-0.004256,191.74001,191.87,125688,194.49001,42893,-0.004256
1/16/15,TSLA,TESLA MOTORS INC,189.64999,194.49001,193.07001,3603158,0.006254,193.02,193.08,125688,190.7,31801,0.006254
1/20/15,TSLA,TESLA MOTORS INC,187.03999,194.1199,191.92999,4503182,-0.005905,191.89,191.94,125688,193.87,37690,-0.005905
1/21/15,TSLA,TESLA MOTORS INC,189.50999,198.67999,196.57001,4152093,0.024176,196.56,196.64999,125688,189.55,34854,0.024176
1/22/15,TSLA,TESLA MOTORS INC,195.2,203.24001,201.62,4116905,0.025691,201.62,201.64999,125688,197,34870,0.025691
1/23/15,TSLA,TESLA MOTORS INC,198.33,203.5,201.28999,3444379,-0.001637,201.28,201.28999,125688,200.28999,27229,-0.001637
1/26/15,TSLA,TESLA MOTORS INC,201.05,208.62,206.55,3234522,0.026132,206.53999,206.59,125688,201.83,26255,0.026132
1/27/15,TSLA,TESLA MOTORS INC,203.3,208.03,205.98,2782324,-0.00276,206,206.05,125688,204.42,21891,-0.00276
1/28/15,TSLA,TESLA MOTORS INC,198.42,206.368,199.37,3149606,-0.03209,199.22,199.38,125688,206.11,27868,-0.03209
1/29/15,TSLA,TESLA MOTORS INC,196.5,205.98,205.2,3698106,0.029242,205.19,205.2,125688,201.07001,27689,0.029242
1/30/15,TSLA,TESLA MOTORS INC,203,207.47,203.60001,3010359,-0.007797,203.53999,203.60001,125763,203.96001,24563,-0.007797
2/2/15,TSLA,TESLA MOTORS INC,203.3,211.94991,210.94,4149186,0.036051,210.92999,211.05,125763,203.97,34562,0.036051
2/3/15,TSLA,TESLA MOTORS INC,211.27,220.37,218.36,4826324,0.035176,218.36,218.39999,125763,213.22,40943,0.035176
2/4/15,TSLA,TESLA MOTORS INC,216.8,221.479,218.55,3305427,0.00087,218.53999,218.63,125763,218.28999,26930,0.00087
2/5/15,TSLA,TESLA MOTORS INC,219.638,225.48,220.99001,3522947,0.011165,220.95,220.99001,125763,219.88,28012,0.011165
2/6/15,TSLA,TESLA MOTORS INC,216.50011,223.39999,217.36,3243931,-0.016426,217.35001,217.46001,125763,222,0,-0.016426
2/9/15,TSLA,TESLA MOTORS INC,211.99001,217.92999,217.48,3472423,0.000552,217.44,217.49001,125763,215.38,29601,0.000552
2/10/15,TSLA,TESLA MOTORS INC,215,220.5,216.28999,5390542,-0.005472,216.22,216.28999,125763,217.55,43560,-0.005472
2/11/15,TSLA,TESLA MOTORS INC,207.28,214.74001,212.8,9769702,-0.016136,212.67,212.84,125763,212.21001,80497,-0.016136
2/12/15,TSLA,TESLA MOTORS INC,193.28,203.0882,202.88,15669607,-0.046617,202.83,202.89999,125763,193.57001,128756,-0.046617
2/13/15,TSLA,TESLA MOTORS INC,200.91,205.99001,203.77,6191003,0.004387,203.67,203.78,125763,202.89999,48261,0.004387
2/17/15,TSLA,TESLA MOTORS INC,201.5,205.7,204.35001,3969147,0.002846,204.35001,204.41,125763,205.7,32135,0.002846
2/18/15,TSLA,TESLA MOTORS INC,202.60001,206.17,204.46001,2713598,0.000538,204.37,204.42999,125763,204.17,22110,0.000538
2/19/15,TSLA,TESLA MOTORS INC,203.75,212.44,211.705,5154148,0.035435,211.7,211.71001,125763,205,37421,0.035435
2/20/15,TSLA,TESLA MOTORS INC,209.81,217.60001,217.11,5982089,0.025531,217.12,217.17999,125763,210.78,42404,0.025531
2/23/15,TSLA,TESLA MOTORS INC,206.33,218.2,207.33501,8499775,-0.045023,207.33,207.34,125763,215.66,57696,-0.045023
2/24/15,TSLA,TESLA MOTORS INC,201.7,207.28999,204.11,6603560,-0.015555,204.10001,204.13,125763,207.28999,42262,-0.015555
2/25/15,TSLA,TESLA MOTORS INC,202.58,207.14,203.75999,3909520,-0.001715,203.64999,203.77,125763,204.94,25246,-0.001715
2/26/15,TSLA,TESLA MOTORS INC,202.22,211.09,207.19,6472855,0.016834,207.19,207.35001,125763,204,46860,0.016834
2/27/15,TSLA,TESLA MOTORS INC,202.8,208.55,203.34,3882094,-0.018582,203.28999,203.35001,125763,206.89999,25882,-0.018582
3/2/15,TSLA,TESLA MOTORS INC,195.825,203.34,197.325,7922065,-0.029581,197.24001,197.41,125763,202.7,58133,-0.029581
3/3/15,TSLA,TESLA MOTORS INC,195.32001,200.2435,199.56,4432329,0.011326,199.53,199.59,125763,196.81,30437,0.011326
3/4/15,TSLA,TESLA MOTORS INC,197.21001,202.52,202.435,4220512,0.014407,202.37,202.5,125763,199.25,28050,0.014407
3/5/15,TSLA,TESLA MOTORS INC,200.14999,206.19,200.63,4877015,-0.008916,200.63,200.64,125763,202.85001,30756,-0.008916
